,id,url,text,rating,time_created,user
0,605N7fpN7eB30z18j33zBA,https://www.yelp.com/biz/el-carrito-barbacoa-el-paso?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&hrid=605N7fpN7eB30z18j33zBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,Best barbacoa in EP! Not overly greasy just melts in your mouth!! Buy the lb if you go. You will not regret it. When I visit EP I always ask my dad to take...,5,2023-03-22 09:15:36,"{'id': 'Uv7jAqyA7AHBWgYEqp0oZA', 'profile_url': 'https://www.yelp.com/user_details?userid=Uv7jAqyA7AHBWgYEqp0oZA', 'image_url': None, 'name': 'Kristin S.'}"
1,pXgzHLeby1FzAkHHFcePvA,https://www.yelp.com/biz/el-carrito-barbacoa-el-paso?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&hrid=pXgzHLeby1FzAkHHFcePvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,Best barbacoa in EP. Flavorful and not greasy!! Chefs kiss! The salsas are really good too,5,2022-02-26 06:51:23,"{'id': 'uv_Ha-aG8QMeQPEeJVwaBg', 'profile_url': 'https://www.yelp.com/user_details?userid=uv_Ha-aG8QMeQPEeJVwaBg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/va3SbsXqd_3UzgIL_ILfMQ/o.jpg', 'name': 'Edith L.'}"
2,OXPuU-TBvxe651APjWMDug,https://www.yelp.com/biz/el-carrito-barbacoa-el-paso?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&hrid=OXPuU-TBvxe651APjWMDug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,"Ive came to this trailer/stand a couple weekends now and I must say, it's been one of the best if not the best barbacoa I've had in a long time. The meat is...",5,2016-07-30 10:16:26,"{'id': 'cjME_iV9JaAtGxAv-9rUyA', 'profile_url': 'https://www.yelp.com/user_details?userid=cjME_iV9JaAtGxAv-9rUyA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/8KoEmFI7r_sdsEdIn1yLxA/o.jpg', 'name': 'Gerardo C.'}"
